Title,Description,Priority,Status,Assignee,Labels
"Integrar Chartkick + gráficos","Visualizações de dados financeiros

**Charts:**
- Receitas vs Despesas (bar chart)
- Gastos por categoria (pie chart)
- Evolução temporal (line chart)
- Mobile responsive

**Acceptance Criteria:**
- [ ] Gem Chartkick instalada
- [ ] Gráfico de receitas vs despesas
- [ ] Gráfico por categoria
- [ ] Gráfico de evolução temporal
- [ ] Responsividade mobile",1,Backlog,,"charts,chartkick,frontend,cycle:dashboard-charts"
"Gráficos dinâmicos com Hotwire","Atualização de gráficos via filtros sem reload

**Features:**
- Filtros afetam charts
- Loading states
- Animações suaves
- Performance otimizada

**Acceptance Criteria:**
- [ ] Filtros afetam gráficos
- [ ] Turbo Frames nos charts
- [ ] Loading states
- [ ] Animações suaves",2,Backlog,,"charts,hotwire,interactive,cycle:dashboard-charts"
"Otimizar Docker para produção","Multi-stage build e otimizações de segurança

**Optimizations:**
- Multi-stage Dockerfile
- Environment variables
- Health checks
- Security headers

**Acceptance Criteria:**
- [ ] Multi-stage Dockerfile
- [ ] Variáveis de ambiente
- [ ] Health checks
- [ ] Security headers",2,Backlog,,"docker,production,devops,cycle:production-deploy"
"Setup Kamal 2 (Rails 8)","Deploy com nova ferramenta nativa do Rails 8

**Configuration:**
- deploy.yml setup
- Secrets management
- Database setup
- SSL certificates

**Acceptance Criteria:**
- [ ] Kamal configurado
- [ ] Deploy.yml setup
- [ ] Secrets management
- [ ] Deploy automatizado",1,Backlog,,"kamal,deploy,rails8,cycle:production-deploy"
"Deploy em produção","App rodando em cloud provider (Render/Fly.io)

**Setup:**
- Database em produção
- SSL configurado
- Domínio customizado
- Monitoring básico

**Acceptance Criteria:**
- [ ] Database em produção
- [ ] SSL configurado
- [ ] Domínio customizado
- [ ] Monitoring básico",1,Backlog,,"deploy,production,cloud,cycle:production-deploy"
"Setup RSpec + FactoryBot","Configurar ambiente de testes robusto

**Tools:**
- RSpec Rails
- FactoryBot
- Database Cleaner
- SimpleCov (coverage)

**Acceptance Criteria:**
- [ ] RSpec configurado
- [ ] FactoryBot setup
- [ ] Database cleaner
- [ ] Coverage report",2,Backlog,,"testing,rspec,setup,cycle:testing-polish"
"Testes de models","Coverage completo dos models principais

**Models to test:**
- User model
- Transaction model
- Category model
- Validações e scopes

**Acceptance Criteria:**
- [ ] User model tested
- [ ] Transaction model tested
- [ ] Category model tested
- [ ] Validações e scopes",2,Backlog,,"testing,models,unit,cycle:testing-polish"
"Testes de features (Capybara)","Testes end-to-end das funcionalidades principais

**Feature tests:**
- Login/logout flow
- CRUD transactions
- Dashboard interactions
- Mobile responsiveness

**Acceptance Criteria:**
- [ ] Login/logout flow
- [ ] CRUD transactions
- [ ] Dashboard interactions
- [ ] Responsive behavior",2,Backlog,,"testing,capybara,e2e,cycle:testing-polish"
"Modo escuro","Toggle entre tema claro e escuro

**Implementation:**
- CSS variables para cores
- Toggle Stimulus controller
- Persistência localStorage
- Transições suaves

**Acceptance Criteria:**
- [ ] CSS variables para cores
- [ ] Toggle Stimulus controller
- [ ] Persistência no localStorage
- [ ] Transições suaves",3,Backlog,,"ui,theme,enhancement,cycle:extra-features"
"Exportação CSV/PDF","Export de dados financeiros em múltiplos formatos

**Features:**
- CSV export com filtros
- PDF report profissional
- Download direto
- Formatação customizada

**Acceptance Criteria:**
- [ ] Export CSV com filtros
- [ ] PDF report gerado
- [ ] Download direto
- [ ] Formatação profissional",3,Backlog,,"export,csv,pdf,enhancement,cycle:extra-features"
"Sistema de metas","Definir e acompanhar objetivos financeiros

**Features:**
- Model Goal
- CRUD de metas
- Progress tracking
- Notifications

**Acceptance Criteria:**
- [ ] Model Goal criado
- [ ] CRUD de metas
- [ ] Progress tracking
- [ ] Notificações por email",3,Backlog,,"goals,enhancement,backend,cycle:extra-features"
"Background jobs com Solid Queue","Jobs para notificações e relatórios usando Rails 8

**Jobs:**
- Email notifications
- Report generation
- Data cleanup
- Scheduling

**Acceptance Criteria:**
- [ ] Solid Queue configurado
- [ ] Jobs de notificação
- [ ] Scheduling de relatórios
- [ ] Monitoring de jobs",3,Backlog,,"jobs,solid-queue,rails8,cycle:extra-features"
